fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Dec,17,MADHYA PRADESH,1752,NIWARI,1078289,245.41163886348,43,118,1786.850554,2640,0,3943,741282,82041,7639,65379,7496,278.0599,3884.10275923998,17219,24607,37337,63430,11,46280,78026,6583,1819.19230479998,288446,63,36.53,54.94,99.92,NA
2024-2025,Dec,17,MADHYA PRADESH,1707,TIKAMGARH,2081129,244.808090622631,43,118,2509.014277,4958,1,10163,1516641,228581,25167,114927,15500,734.01233,6955.88648048398,35246,50484,86480,154304,63,126732,219065,15121,3712.85987369998,547031,63,23.07,48.59,99.93,NA
2024-2025,Dec,17,MADHYA PRADESH,1709,PANNA,3032984,232.772586181513,47,351,5006.983847,6381,0,9344,2574421,428945,46491,406365,38873,839.38291,11838.913098392,54291,83344,114183,237278,265,153227,313817,15725,5992.54634089997,1009798,61,26.35,61.09,99.91,NA
2024-2025,Dec,17,MADHYA PRADESH,1712,SATNA,3049785,205.278295197844,39,336,1955.08769,4833,0,12979,2235538,388888,48083,420000,51377,1238.67526,7782.83724470798,56089,79710,137797,252272,212,204348,376003,17812,4589.07429489998,908117,53,20.07,47.08,99.87,NA
2024-2025,Dec,17,MADHYA PRADESH,1714,SHAHDOL,2940899,216.372866602613,35,1446,3939.797507,8213,1,15169,2240921,281921,37474,1385591,136841,762.86364,9551.40615274294,62831,96365,128126,251163,528,155459,291046,23382,4848.74500599994,1132621,79,18.78,42,99.76,NA
2024-2025,Dec,17,MADHYA PRADESH,1719,SHAJAPUR,1230350,227.581182580629,40,182,1484.426046,2847,3,6484,892937,168159,21762,74313,11698,651.86556,4168.44819078699,22005,31078,59991,105015,42,104946,179090,9331,2032.15658429999,318390,59,48.6,28.99,99.95,NA
2024-2025,Dec,17,MADHYA PRADESH,1729,SEHORE,1313907,243.292220757733,43,160,1189.491059,4391,0,10350,1138053,223165,29035,137999,19133,907.25994,4865.545416,26033,38447,62651,119438,126,130628,242730,14741,2768.794417,400923,58,33.08,32.52,99.9,NA
2024-2025,Dec,17,MADHYA PRADESH,1731,BETUL,3327622,234.136603510051,29,1877,2237.480418,6028,1,12576,2291077,286376,55931,1160944,206428,1079.35195,8681.08223946397,76953,114814,165030,389818,465,213061,483773,18604,5364.24987159997,1167403,56,21.99,62.38,99.92,NA
2024-2025,Dec,17,MADHYA PRADESH,1736,CHHINDWARA,7078259,228.115498209802,38,3472,8433.433401,13159,1,21865,5222047,757028,89654,2860754,275294,1525.79369,21871.525621484,135940,203539,233250,546184,1689,281511,646527,35024,11912.29853,2760147,72,23.45,47.68,100.02,NA
2024-2025,Dec,17,MADHYA PRADESH,1743,HARDA ,577098,236.887604920252,33,128,438.1665241,1967,0,3718,565906,144753,19007,220449,30951,426.43264,2205.160334,16891,27157,32093,73591,136,49760,111381,5685,1340.56117,246994,51,30.44,15.93,99.89,NA
